库存SKU英文名称,库存SKU,库存总量
"Timeless Favorite Chiffon Maxi Skirt in Mint",B190411004S,12
"Timeless Favorite Chiffon Maxi Skirt in Mint",B190411004XS,8
"Timeless Favorite Chiffon Maxi Skirt in Mint",B190411004XXL,9
"Timeless Favorite Chiffon Maxi Skirt in Mint",B190411004XL,9
"Timeless Favorite Chiffon Maxi Skirt in Wine",B190411006XXL,4
"Just for Bowknot Cutout Knit Top in Black",T190430014S-M,1
"Richly Tinting Watercolor Maxi Skirt",B190402008XS-S,5
"Richly Tinting Watercolor Maxi Skirt",B190402008M-L,26
"Bamboo Watercolor Maxi Skirt in Blue",B190304008M-L,4
"Plum Blossom Watercolor Maxi Skirt in Wine",B190304007XS-S,4
"Leopard Watercolor Maxi Skirt in Brown",B190304006XS-S,21
"Leopard Watercolor Maxi Skirt in Brown",B190304006M-L,1
"Leopard Watercolor Maxi Skirt in Brown",B190304006XL-XXL,45
"Flower Season Chiffon Maxi Skirt in Yellow",B180414029XS-S,3
"Flower Season Chiffon Maxi Skirt in Yellow",B180414029M-L,4
"Flower Season Chiffon Maxi Skirt in Yellow",B180414029XL-XXL,5
"Flower Season Chiffon Maxi Skirt in Navy",B180414028XS-S,5
"Sunflower Blossom Watercolor Chiffon Maxi Skirt in Pink",B180414027XS-S,5
"Sunflower Blossom Watercolor Chiffon Maxi Skirt in Pink",B180414027XL-XXL,4
"Pink Rose Panache Maxi Skirt",B20160823005XS-S,4
"Pink Rose Panache Maxi Skirt",B20160823005M-L,13
"Pink Rose Panache Maxi Skirt",B20160823005XL-XXL,8
"Dancing Watercolor Floral Maxi Skirt in Violet",B20160422021XS-S,6
"Dancing Watercolor Floral Maxi Skirt in Violet",B20160422021M-L,7
"Dancing Watercolor Floral Maxi Skirt in Violet",B20160422021XL-XXL,5
"Orange Blossom Watercolor Maxi Skirt",B20160315027XS-S,5
"Orange Blossom Watercolor Maxi Skirt",B20160315027XL-XXL,10
"Marvelous Floral Maxi Skirt in Blue",B20150616027M-L,5
"Marvelous Floral Maxi Skirt in Blue",B20150616027XL-XXL,1
"Marvelous Floral Maxi Skirt in Yellow",B20150616025XS-S,3
"Marvelous Floral Maxi Skirt in Yellow",B20150616025M-L,1
"Marvelous Floral Maxi Skirt in Yellow",B20150616025XL-XXL,8
"Floral and Frill Maxi Skirt",B20130704013XS-S,56
"Diva Full Lace Crop Top in Black",T190611012XL,2
"Diva Full Lace Crop Top in White",T190611013L,97
"Diva Full Lace Crop Top in White",T190611013M,25
"Diva Full Lace Crop Top in White",T190611013S,15
"Diva Full Lace Crop Top in White",T190611013XS,17
"Blooming Sunflower Watercolor Maxi Skirt in Black",B190626001XL-XXL,4
"Blooming Sunflower Watercolor Maxi Skirt in Black",B190626001M-L,4
"Blooming Sunflower Watercolor Maxi Skirt in Black",B190626001XS-S,3
"Blooming Flowers Watercolor Maxi Skirt in Lilac",B190626002XL-XXL,4
"Blooming Flowers Watercolor Maxi Skirt in Lilac",B190626002M-L,3
"Blooming Flowers Watercolor Maxi Skirt in Lilac",B190626002XS-S,1
"Tropical Flowering Watercolor Maxi Skirt in Black",B190626003XL-XXL,5
"Knit Your Love Cardigan in Ivory For Kids",T201712060017-8YR,4
"Love Yourself Pleated Dots Midi Skirt in Cream",B190713003XS,1
"Cross On Love Knit Top in Black",T181011012XS,5
"Glam V-neck Ribbed Top in Black",T20151006005XS,9
"Multi Floral Print Embossed Midi Skirt",B190730016XS,2
"Multi Floral Print Embossed Midi Skirt",B190730016L,2
"Multi Floral Print Embossed Midi Skirt",B190730016M,6
"Multi Floral Print Embossed Midi Skirt",B190730016S,4
"Hand-Knit Puff Sleeves Sweater in Pink",T190801016L-XL,6
"Hand-Knit Puff Sleeves Sweater in Orange",T190801017L-XL,1
"Hand-Knit Puff Sleeves Sweater in Orange",T190801017S-M,2
"Hand-Knit Puff Sleeves Sweater in Yellow",T190801018L-XL,3
"Hand-Knit Puff Sleeves Sweater in Yellow",T190801018S-M,4
"Hand-Knit Puff Sleeves Sweater in Cream",T190801019L-XL,11
"Hand-Knit Puff Sleeves Sweater in Cream",T190801019S-M,1
"Hand-Knit Puff Sleeves Sweater in Blue",T190801020L-XL,1
"Hand-Knit Puff Sleeves Sweater in Blue",T190801020S-M,4
"Tassels Hem Open Front Sheer Kimono",D190803008S-M,3
"Cuteness on Sleeves Chunky Knit Longline Cardigan in Camel",T190810026L-XL,3
"Cuteness on Sleeves Chunky Knit Longline Cardigan in Camel",T190810026S-M,5
"Blooming Rose Watercolor Maxi Skirt in Black",B190822001XL-XXL,4
"Blooming Rose Watercolor Maxi Skirt in Black",B190822001M-L,5
"Blooming Rose Watercolor Maxi Skirt in Black",B190822001XS-S,2
"Blooming Calla Lily Watercolor Maxi Skirt in Black",B190822002XL-XXL,6
"Blooming Calla Lily Watercolor Maxi Skirt in Black",B190822002M-L,34
"Blooming Calla Lily Watercolor Maxi Skirt in Black",B190822002XS-S,3
"Snake Printed Asymmetric Chiffon Maxi Skirt",B190822003XS-S,3
"V-Neck Floral Embroidered Mesh Maxi Dress in Wine",D190824002L,29
"V-Neck Floral Embroidered Mesh Maxi Dress in Wine",D190824002M,40
"V-Neck Floral Embroidered Mesh Maxi Dress in Wine",D190824002S,25
"V-Neck Floral Embroidered Mesh Maxi Dress in Wine",D190824002XS,17
"V-Neck Floral Embroidered Mesh Maxi Dress in Navy",D190824003L,3
"V-Neck Floral Embroidered Mesh Maxi Dress in Navy",D190824003M,35
"V-Neck Floral Embroidered Mesh Maxi Dress in Navy",D190824003S,10
"V-Neck Floral Embroidered Mesh Maxi Dress in Navy",D190824003XS,20
"Crisscross Ribbed Knit Crop Sweater in Ivory",T190831024M-L,1
"Crisscross Ribbed Knit Crop Sweater in Ivory",T190831024XS-S,11
"V-Neck Floral Embroidered Mesh Maxi Dress in Wine",D190824002XL,11
"V-Neck Floral Embroidered Mesh Maxi Dress in Navy",D190824003XL,2
"Open Front Drape Knit Cardigan in Blue",T190903011S-M,10
"Feeling of Warmth Faux Fur Longline Coat in Brown",T190905001XL,2
"Double-Breasted Split Blazer in Sand",T190907029M,1
"A-Line Pleated Knit Midi Skirt in Pea Green",B190916003S-M,1
"Cozy Ribbed Turtleneck Sweater in Linen",T190916023L-XL,122
"Cozy Ribbed Turtleneck Sweater in Linen",T190916023S-M,137
"Cozy Ribbed Turtleneck Sweater in White",T190916024L-XL,44
"Cozy Ribbed Turtleneck Sweater in White",T190916024S-M,97
"Cozy Ribbed Turtleneck Sweater in Grey",T190916025S-M,19
"Cozy Ribbed Turtleneck Sweater in Grey",T190916025L-XL,8
"Cozy Ribbed Turtleneck Sweater in Army Green",T190916027L-XL,27
"Cozy Ribbed Turtleneck Sweater in Army Green",T190916027S-M,33
"Knit Your Love Cardigan in Wine For Kids",T201712110022-3YR-98cm,3
"Knit Your Love Cardigan in Hot Pink For Kids",T1807120132-3YR-98cm,4
"Knit Your Love Cardigan in Lavender For Kids",T201712110017-8YR-128cm,3
"Knit Your Love Cardigan in Wine For Kids",T201712110027-8YR-128cm,9
"Knit Your Love Cardigan in Pink For Kids",T201712110037-8YR-128cm,2
"Add More Flowers Embroidered Sweater in Dusty Pink For Kids",T18101102318-24M-90cm,1
"My Chic Faux Fur Coat in Grey For Kids",T1808110246-7Y-110cm,2
"My Chic Faux Fur Coat in Tan For Kids",T18081102312-13Y-140cm,2
"My Chic Faux Fur Coat in Tan For Kids",T18081102310-11Y-130cm,1
"Knit Your Love Cardigan in Hot Pink For Kids",T18071201312-18M-86cm,2
"Knit Your Love Cardigan in Hot Pink For Kids",T1807120135-6YR-116cm,2
"Love Me More Layered Tulle Skirt in Nude Pink for Kids",B1805090256-12M-70cm,1
"Spring Sun Embroidered Off-Shoulder Top and Pants Set For Kids",D18051702412-18M-80cm,1
"Amore Mesh Tulle Skirt in Cream For Kids",B1804230069-10Y-130-140cm,2
"Amore Mesh Tulle Skirt in Cream For Kids",B1804230067-8Y-120-130cm,1
"Amore Mesh Tulle Skirt in Cream For Kids",B1804230065-6Y-110-120cm,1
"Amore Mesh Tulle Skirt in Cream For Kids",B18042300612-18M-80-90cm,1
"Amore Mesh Tulle Skirt in Navy For Kids",B1804230023-4Y-100-110cm,1
"Stars Shining Out Mesh Off-Shoulder Tunic in Light Blue For Kids",T18032903618-24M-90-95cm,2
"Stars Shining Out Mesh Off-Shoulder Tunic in Light Blue For Kids",T1803290363-4Y-100-105cm,1
"Stars Shining Out Mesh Off-Shoulder Tunic in Light Blue For Kids",T1803290367-8Y-120-125cm,1
"Stars Shining Out Mesh Off-Shoulder Tunic in Black For Kids",T18032903518-24M-90-95cm,4
"It's Our Youth Cold-Shoulder Check Dolly Top For Kids",T1803290343-4Y-100-105cm,6
"Knit Your Love Cardigan in Pink For Kids",T2017121100312-18M-86cm,4
"Knit Your Love Cardigan in Pink For Kids",T201712110032-3YR-98cm,4
"Knit Your Love Cardigan in Pink For Kids",T201712110033-4YR-104cm,2
"Knit Your Love Cardigan in Pink For Kids",T201712110035-6YR-116cm,2
"Knit Your Love Cardigan in Wine For Kids",T2017121100218-24M-92cm,1
"Knit Your Love Cardigan in Wine For Kids",T201712110023-4YR-104cm,11
"Knit Your Love Cardigan in Wine For Kids",T201712110025-6YR-116cm,9
"Knit Your Love Cardigan in Lavender For Kids",T2017121100112-18M-86cm,9
"Knit Your Love Cardigan in Lavender For Kids",T2017121100118-24M-92cm,2
"Knit Your Love Cardigan in Lavender For Kids",T201712110012-3YR-98cm,1
"Knit Your Love Cardigan in Lavender For Kids",T201712110015-6YR-116cm,1
"Knit Your Love Cardigan in Lavender For Kids",T201712110013-4YR-104cm,1
"Classy Open Front Knit Coat in Light Tan",T191011002M-L,111
"Classy Open Front Knit Coat in Light Tan",T191011002XS-S,16
"Pockets Button Trim Knit Cardigan in White",T191017004S-M,1
"Fancy with Bowknot Knit Top in Black",T190131009L-XL,18
"Shiny Lines Puff Sleeves Knit Top in Grey",T191120004S-M,3
"Long Sleeves Semi-Sheer Top in Pink",T191120006S-M,2
"Parallel A-Line Knit Midi Skirt in Black",B191122002XS-S,1
"Can't Let Go Mesh Tulle Skirt in Army Green",B191122021S-M,2
"Boat Neck Batwing Sleeves Knit Top in White",T191127002S-M,1
"Boat Neck Batwing Sleeves Knit Top in Taupe",T191127004S-M,1
"Buttoned Pocket Teddy Coat in Sand",T191127014XS,1
"My Secret Garden Tulle Maxi Skirt in Army Green",B191127020S-M,16
"My Secret Garden Tulle Maxi Skirt in Navy",B191127021S-M,2
"Brown Leopard Faux Fur Longline Coat with Collar",T191130018S,1
"Brown Leopard Faux Fur Longline Coat with Collar",T191130018XS,2
"Faux Fur Mid-Length Vest in Sand",T191203017M,1
"Faux Fur Mid-Length Vest in Sand",T191203017XS,1
"Houndstooth Hem Pleated Knit A-Line Midi Skirt",B191203021S-M,2
"Full Polka Dots Double-Layered Mesh Tulle Skirt in Baby Blue",B191224003S-M,3
"Full Polka Dots Double-Layered Mesh Tulle Skirt in Caramel",B191224004S-M,4
"Contrast Color Fuzzy Hearts Knit Sweater",T191226011S-M,49
"Contrast Color Fuzzy Hearts Knit Sweater",T191226011L-XL,88
"Button Down Crochet Embroidered Boho Maxi Dress in White",D200122027XS,5
"Button Down Crochet Embroidered Boho Maxi Dress in White",D200122027L,10
"Button Down Crochet Embroidered Boho Maxi Dress in White",D200122027M,12
"Button Down Crochet Embroidered Boho Maxi Dress in White",D200122027S,2
"Button Down Crochet Embroidered Boho Maxi Dress in Red",D200122028L,2
